,red,blue,green,scaled_red,scaled_blue,scaled_green
406,107,33,31,1.437422,0.395416,0.434926
407,195,93,89,2.6196,1.114354,1.248659
408,220,65,64,2.955446,0.778849,0.897912
409,218,68,65,2.928579,0.814796,0.911942
410,218,70,65,2.928579,0.838761,0.911942
411,220,70,63,2.955446,0.838761,0.883882
412,225,67,62,3.022616,0.802814,0.869852
413,225,65,62,3.022616,0.778849,0.869852
414,223,67,62,2.995748,0.802814,0.869852
415,223,70,62,2.995748,0.838761,0.869852
416,223,67,57,2.995748,0.802814,0.799703
417,231,69,65,3.103219,0.826778,0.911942
418,227,64,63,3.049483,0.766867,0.883882
419,216,56,56,2.901711,0.671009,0.785673
420,228,72,67,3.062917,0.862725,0.940002
421,224,66,61,3.009182,0.790832,0.855822
422,223,60,59,2.995748,0.718938,0.827763
423,227,61,63,3.049483,0.73092,0.883882
424,217,64,65,2.915145,0.766867,0.911942
425,218,64,64,2.928579,0.766867,0.897912
426,221,62,63,2.96888,0.742902,0.883882
427,222,64,62,2.982314,0.766867,0.869852
428,222,66,61,2.982314,0.790832,0.855822
429,224,67,60,3.009182,0.802814,0.841793
430,222,71,60,2.982314,0.850743,0.841793
431,219,71,62,2.942013,0.850743,0.869852
432,215,67,62,2.888277,0.802814,0.869852
433,220,68,66,2.955446,0.814796,0.925972
434,220,61,62,2.955446,0.73092,0.869852
435,230,66,68,3.089785,0.790832,0.954032
436,217,58,59,2.915145,0.694973,0.827763
437,223,72,68,2.995748,0.862725,0.954032
438,219,73,62,2.942013,0.874708,0.869852
439,220,74,57,2.955446,0.88669,0.799703
440,221,69,65,2.96888,0.826778,0.911942
441,227,66,62,3.049483,0.790832,0.869852
442,226,67,61,3.03605,0.802814,0.855822
443,218,71,63,2.928579,0.850743,0.883882
444,217,73,63,2.915145,0.874708,0.883882
445,226,67,61,3.03605,0.802814,0.855822
446,227,62,63,3.049483,0.742902,0.883882
447,203,73,73,2.727071,0.874708,1.024181
448,145,74,70,1.947908,0.88669,0.982091
449,28,0,0,0.376148,0.0,0.0
450,8,12,7,0.107471,0.143788,0.098209
451,33,81,69,0.443317,0.970566,0.968061
452,93,203,181,1.249348,2.432406,2.539407
453,82,237,202,1.101575,2.839804,2.834035
454,79,248,204,1.061274,2.971609,2.862095
455,77,238,194,1.034406,2.851787,2.721796
456,83,235,195,1.115009,2.81584,2.735826
457,77,230,193,1.034406,2.755928,2.707766
458,73,236,195,0.980671,2.827822,2.735826
459,86,254,207,1.155311,3.043503,2.904184
460,82,248,193,1.101575,2.971609,2.707766
461,83,241,189,1.115009,2.887733,2.651646
462,93,244,200,1.249348,2.92368,2.805975
463,85,237,202,1.141877,2.839804,2.834035
464,78,231,203,1.04784,2.76791,2.848065
465,79,234,211,1.061274,2.803857,2.960304
